,feature,importance
38,x_10,0.4398620135712785
6,BZip2,0.2939802943548101
7,Deflate,0.13283286584806767
37,x_8,0.0576803796376088
5,PPMd,0.04271023500229769
36,x_6,0.016322078923775976
3,LZMA,0.009511818513103778
4,LZMA2,0.004162235451033837
2,mtOff,0.0009395240324695065
39,#yes,0.0003887441373395475
9,Files_0,0.00017900263798214697
22,BlockSize_4,0.00014429185016342466
20,BlockSize_1,0.0001267222220944434
0,filterOff,0.00012077728007535643
8,tmOff,0.00011819670474283092
1,HeaderCompressionOff,0.00011302193690860938
24,BlockSize_16,8.322060692496194e-05
21,BlockSize_2,8.310244978580866e-05
26,BlockSize_64,8.269456492631781e-05
35,x_4,6.310765170234368e-05
10,Files_10,4.2770421811078334e-05
14,Files_50,4.0361396855205174e-05
13,Files_40,3.9342037278784305e-05
17,Files_80,3.841510722728573e-05
12,Files_30,3.6502163751430334e-05
16,Files_70,2.969639895250958e-05
15,Files_60,2.9461362310425244e-05
31,BlockSize_2048,2.756434062040576e-05
11,Files_20,2.7419528369511517e-05
23,BlockSize_8,2.639719480249703e-05
32,BlockSize_4096,2.504814376506651e-05
33,x_0,2.3267828929601554e-05
19,Files_100,2.1780119866460156e-05
18,Files_90,1.7407518149900662e-05
28,BlockSize_256,1.6408902398388418e-05
25,BlockSize_32,1.3275739754258725e-05
29,BlockSize_512,1.275426628791677e-05
34,x_2,1.2279278856848429e-05
27,BlockSize_128,1.1128849858089732e-05
30,BlockSize_1024,4.39202306283855e-06
